company_size_range;interest_rate;count
+5000;0.2991123569259519;8562
0 - 10;0.5342066957787481;2061
10 - 20;0.41628060886829915;3022
100 - 500;0.40129503569649677;6023
1000 - 5000;0.5449640287769785;1668
20 - 50;0.41990589198036005;9776
50 - 100;0.40557006092254133;2298
500 - 1000;0.4803632793323515;4074
