company_size_range;interest_rate;count
+5000;0.31536519036519034;10296
0 - 10;0.5634354953670706;2806
10 - 20;0.4169221336603311;3262
100 - 500;0.4080987937966686;6964
1000 - 5000;0.5015829941203076;2211
20 - 50;0.4175596578117965;11105
50 - 100;0.39492753623188404;2484
500 - 1000;0.4796650717703349;4180
