"pid";"position";"company";"status";"fetcher_leads";"extension_leads"
8484;Hardware Engineer - Embedded Electronics;Atlis Motor Vehicles;Open;40;0
8489;SaaS Company Search;Trustero;On hold;30;0
8493;Staff Product Manager;Ribbon Home;Open;40;0
8506;Senior Software Engineer Middleware - Java;Crux Intelligence ;On hold;40;0
8512;UK mid-Market;Coupa Software;Open;15;1
8527;Technical Program Manager;AKASA;On hold;40;0
8538;Mid-Market Account Manager ;Frame.io;Closed;0;1
8539;Full Stack Engineer;Smarthop;Open;40;0
8546;SEM (Search Engine Marketing) Specialist;RevZilla;On hold;10;0
8559;Lead Software Engineer (Golang and Typescript);AKASA;Closed;39;0
8580;Heavy Duty Mechanics;Race21™;Open;33;0
8582;Director of Design;Hipcamp;Closed;20;0
8618;Global Commodity Manager;Bevi;Closed;5;0
8682;SPN - Infrastructure Engineer;Crossvale, Inc.;Open;40;0
8689;Associate Director, Customer Success;AKASA;On hold;10;0
8761;NOC Operator;Devo Technology;On hold;30;0
8777;Associate General Counsel;Ribbon Home;Closed;10;0
8796;Payroll Representative;Asap Accounting & Payroll;On hold;40;0
8807;Cloud Security Engineer;Chainalysis;Open;40;0
8809;Account Executive;PerkSpot;Open;40;0
8810;NOC Operator;Devo Technology;On hold;40;0
8814;Product Designer;Ribbon Home;Open;30;0
8835;Senior Cloud Infrastructure Consultant;Crossvale, Inc.;Open;40;0
8841;Staff Software Engineer, Back End;Drift;Closed;40;0
8846;Site Reliability Engineer;Core Digital Media;Open;30;0
8887;Program Coordinator- Pittsburgh;agilon health;On hold;10;0
8895;Infrastructure and Tools Engineer;Emerald Cloud Lab;Open;60;0
8911;Commercial Underwriter, Property & Casualty;Gore Mutual Insurance;Open;30;0
8916;SPN - Senior Red Hat Infrastructure Consultant;Crossvale, Inc.;Open;40;0
8917;Enterprise Account Manager;RippleMatch;Open;10;0
8924;Head of Buying;Rowan International;On hold;20;0
8930;Golang engineer;Initi8 Recruitment;Open;20;0
8931;Product Manager;RippleMatch;On hold;20;0
8933;Outbound SDR ;Labelbox;Open;40;0
8937;Vice President of Lab Operations;Emerald Cloud Lab;On hold;10;0
8940;Scientific Developer;Emerald Cloud Lab;Open;100;7
8945;Enterprise Account Executive;RippleMatch;Open;10;0
8953;Senior Software Engineer, Backend;JumpCloud;On hold;40;0
8961;Evidation Engineer;Breathe Consulting;Open;50;0
8970;Quality Assurance;RippleMatch;On hold;20;0
8971;Engineering Manager;RippleMatch;Open;20;0
8976;Senior Platform Engineer;Socotra;On hold;30;9
8983;Freight Analyst, Colombia;Smarthop;Open;40;0
8993;Engineering Manager;Chainalysis;Open;40;0
9003;NeuroScientist;BridgeBio;On hold;20;0
9008;Senior Software Engineer - Device Management;JumpCloud;Open;80;0
9011;Clinical Pharmacology Scientist;BridgeBio;Open;10;0
9013;Technical Recruiter;AKASA;On hold;40;0
9014;Ricron - Procurement Manager;Sagana;New;0;12
9035;Associate, BD & Ops;BridgeBio;On hold;20;0
9037;Implementation Consultant;Haley Bridge;On hold;45;0
9040;Mine Operations Supervisor;Race21™;Open;10;0
9041;Chief Executive Officer, Donor Advised Fund;Network for Good;Open;40;0
9042;Android Engineer;OpenPhone;On hold;40;0
9045;Director Business Intelligence & Analytics;AKASA;On hold;10;0
9047;Sr. Software Engineer, Infrastructure;AKASA;On hold;40;0
9048;Engineering Manager;Techmate Talent;Closed;60;0
9057;DevOps;Foursquare;Open;30;0
9061;Sr Administrative Assistant- Austin, TX;agilon health;Closed;40;0
9063;Data Engineering;Foursquare;Open;30;0
9064;Android ;Foursquare;Open;34;0
9066;Data Scientist;Foursquare;Open;15;0
9067;Solutions Engineering;Foursquare;Open;25;0
9070;Software Engineer;Invitae;Open;40;0
